"year","state","sector_name_en","value"
2020,"Johor","Agriculture",16856.55
2020,"Johor","Mining and quarrying",657.515
2020,"Johor","Manufacturing",38650.689
2020,"Johor","Construction",4175.525
2020,"Johor","Services",66406.166
2020,"Johor","Import duties",1327.119
2020,"Kedah","Agriculture",5517.843
2020,"Kedah","Mining and quarrying",111.892
2020,"Kedah","Manufacturing",13618.773
2020,"Kedah","Construction",1112.621
2020,"Kedah","Services",25433.746
2020,"Kedah","Import duties",247.582
2020,"Kelantan","Agriculture",5817.503
2020,"Kelantan","Mining and quarrying",341.892
2020,"Kelantan","Manufacturing",1234.011
2020,"Kelantan","Construction",396.456
2020,"Kelantan","Services",17374.192
2020,"Kelantan","Import duties",23.653
2020,"Melaka","Agriculture",4583.532
2020,"Melaka","Mining and quarrying",59.283
2020,"Melaka","Manufacturing",15322.431
2020,"Melaka","Construction",991.943
2020,"Melaka","Services",19969.693
2020,"Melaka","Import duties",103.567
2020,"Negeri Sembilan","Agriculture",3318.702
2020,"Negeri Sembilan","Mining and quarrying",199.668
2020,"Negeri Sembilan","Manufacturing",16760.978
2020,"Negeri Sembilan","Construction",1370.22
2020,"Negeri Sembilan","Services",23822.068
2020,"Negeri Sembilan","Import duties",864.466
2020,"Pahang","Agriculture",13001.464
2020,"Pahang","Mining and quarrying",613.576
2020,"Pahang","Manufacturing",12246.086
2020,"Pahang","Construction",1351.98
2020,"Pahang","Services",27597.184
2020,"Pahang","Import duties",75.173
2020,"Perak","Agriculture",11430.364
2020,"Perak","Mining and quarrying",432.138
2020,"Perak","Manufacturing",14155.88
2020,"Perak","Construction",2057.417
2020,"Perak","Services",46136.819
2020,"Perak","Import duties",51.37
2020,"Perlis","Agriculture",1087.742
2020,"Perlis","Mining and quarrying",30.067
2020,"Perlis","Manufacturing",443.996
2020,"Perlis","Construction",150.603
2020,"Perlis","Services",4032.247
2020,"Perlis","Import duties",40.41
2020,"Pulau Pinang","Agriculture",2048.85
2020,"Pulau Pinang","Mining and quarrying",139.141
2020,"Pulau Pinang","Manufacturing",41626.57
2020,"Pulau Pinang","Construction",2234.118
2020,"Pulau Pinang","Services",45978.568
2020,"Pulau Pinang","Import duties",663.435
2020,"Sabah","Agriculture",12798.329
2020,"Sabah","Mining and quarrying",19935.969
2020,"Sabah","Manufacturing",6042.344
2020,"Sabah","Construction",2196.533
2020,"Sabah","Services",36597.415
2020,"Sabah","Import duties",269.462
2020,"Sarawak","Agriculture",14907.463
2020,"Sarawak","Mining and quarrying",28591.412
2020,"Sarawak","Manufacturing",33427.691
2020,"Sarawak","Construction",4081.745
2020,"Sarawak","Services",46160.302
